,type,gene
1,B cell,CD79A
2,B cell,CD79B
3,B cell,JCHAIN
4,B cell,MEI1
5,B cell,POU2AF1
6,B cell,TNFRSF13B
7,T cell,ACAP1
8,T cell,JAML
9,T cell,DCANP1
10,T cell,CCL5
11,T cell,CD2
12,T cell,CD247
13,T cell,CD27
14,T cell,CD38
15,T cell,CD3D
16,T cell,CD3G
17,T cell,CD6
18,T cell,CD7
19,T cell,CD8A
20,T cell,CD96
21,T cell,CORO1A
22,T cell,CST7
23,T cell,CXCR6
24,T cell,EOMES
25,T cell,GZMA
26,T cell,GZMK
27,T cell,GZMM
28,T cell,ICOS
29,T cell,IL2RG
30,T cell,ITK
31,T cell,LAT
32,T cell,LAX1
33,T cell,LTA
34,T cell,NKG7
35,T cell,PRF1
36,T cell,PTPRCAP
37,T cell,S1PR4
38,T cell,SLA2
39,T cell,SLAMF6
40,T cell,SP140
41,T cell,SPOCK2
42,T cell,TBC1D10C
43,CD8,ACAP1
44,CD8,CCL5
45,CD8,CD3D
46,CD8,CD3G
47,CD8,CD48
48,CD8,CD6
49,CD8,CD8A
50,CD8,CD96
51,CD8,CXCR6
52,CD8,GZMA
53,CD8,GZMK
54,CD8,IL2RG
55,CD8,NKG7
56,CD8,PRF1
57,CD8,PTPRCAP
58,CD8,S1PR4
59,CD8,SLA2
60,CD8,SLAMF6
61,CD8,TBC1D10C
62,Mac TH1,ARHGAP25
63,Mac TH1,ARHGAP30
64,Mac TH1,ARHGAP9
65,Mac TH1,C1QB
66,Mac TH1,C1QC
67,Mac TH1,CD300LF
68,Mac TH1,CD37
69,Mac TH1,CD74
70,Mac TH1,CD84
71,Mac TH1,CD86
72,Mac TH1,CLEC4A
73,Mac TH1,CSF1R
74,Mac TH1,FCER1G
75,Mac TH1,FERMT3
76,Mac TH1,FGD2
77,Mac TH1,FGL2
78,Mac TH1,HAVCR2
79,Mac TH1,HLA-DMB
80,Mac TH1,HLA-DOA
81,Mac TH1,HLA-DPA1
82,Mac TH1,HLA-DRA
83,Mac TH1,IKZF1
84,Mac TH1,IL10RA
85,Mac TH1,IRF8
86,Mac TH1,ITGAX
87,Mac TH1,ITGB2
88,Mac TH1,LAPTM5
89,Mac TH1,LCP2
90,Mac TH1,LILRB1
91,Mac TH1,LILRB2
92,Mac TH1,LILRB4
93,Mac TH1,LST1
94,Mac TH1,MNDA
95,Mac TH1,MS4A6A
96,Mac TH1,NCF4
97,Mac TH1,NCKAP1L
98,Mac TH1,PARVG
99,Mac TH1,PLEK
100,Mac TH1,PTPRC
101,Mac TH1,RASAL3
102,Mac TH1,RNASE6
103,Mac TH1,SIGLEC9
104,Mac TH1,SLCO2B1
105,Mac TH1,SNX20
106,Mac TH1,SPI1
107,Mac TH1,SPN
108,Mac TH1,SRGN
109,Mac TH1,TMC8
110,Mac TH1,TNFRSF1B
111,Dendritic Cell,CCL22
112,Dendritic Cell,CD40
113,Dendritic Cell,DAXX
114,Dendritic Cell,IFIT1
115,Dendritic Cell,IL1B
116,Dendritic Cell,IL6
117,Dendritic Cell,IRF8
118,Dendritic Cell,ISG15
119,Dendritic Cell,KIF20A
120,Dendritic Cell,MAN2B1
121,Dendritic Cell,PSME2
122,Dendritic Cell,SQSTM1
123,Dendritic Cell,STAT5A
124,Dendritic Cell,TAP1
125,Dendritic Cell,TEP1
126,Dendritic Cell,TNFRSF1B
127,Dendritic Cell,TRAFD1
128,Dendritic Cell,TXNDC16
